MAX392EAE	from hqew, 正润电子	MAX	10+	1230	SSOP16
MAX4172ESA	from hqew, 正润电子	MAX	10+	1221	SOP8
MAX4272ESA	from hqew, 正润电子	MAX	10+	1217	SOP8
MAX4278EPA	from hqew, 正润电子	MAXIM	10+	850	DIP8
MAX4514ESA	from hqew, 正润电子	MAX	10+	1224	SOP8
MAX455CPP	from hqew, 正润电子	MAX	10+	1207	DIP
MAX457CPA	from hqew, 正润电子	MAX	10+	145	DIP8
MAX480CSA	from hqew, 正润电子	MAX	10+	1222	SOP8
MAX512ESD	from hqew, 正润电子	MAX	10+	1219	SOP14
MAX521BCAG	from hqew, 正润电子	MAX	10+	1216	SSOP24
MAX521BCWG	from hqew, 正润电子	MAX	10+	1210	SOP24
MAX531BCSD	from hqew, 正润电子	MAX	11+	2500	SOP
MAX532ACPE	from hqew, 正润电子	MAX	10+	615	DIP16
MAX640ESA	from hqew, 正润电子	MAX	10+	1211	SOP8
MAX690CPA	from hqew, 正润电子	MAX	10+	709	DIP8
MAX717CSE	from hqew, 正润电子	MAX	10+	1207	SOP16
MAX731CWE	from hqew, 正润电子	MAX	10+	1230	SOP16
MAX8213ACSE	from hqew, 正润电子	MAX	10+	1211	SOP16
MAX831CWE	from hqew, 正润电子	MAX	10+	20	SOP16
MAX872ESA	from hqew, 正润电子	MAX	10+	1213	SOP8
MAX912CSE	from hqew, 正润电子	MAX	10+	1221	SOP16
NAND99R4M2AZBA5E	from hqew, 正润电子	ST	08+	300	BGA
NCP1402SN33T1G	from hqew, 正润电子	ON SEMI	11+	6005	SOT23
NE5090N	from hqew, 正润电子	PHILIPS	10+	1223	DIP
NE5205N	from hqew, 正润电子	PHILIPS	10+	1205	DIP
PBL3853	from hqew, 正润电子	ERICSSON	10+	1212	SOP
PC410L	from hqew, 正润电子	SHARP	1031+	52	SOP-5
PC923	from hqew, 正润电子	SHARP	N3	1000	sop
PCA82C251T/N3	from hqew, 正润电子	NXP	11+	2500	SOP8
PHN603S	from hqew, 正润电子	PHLILPS	10+	1208	SOP
PIC16F690-I/SO	from hqew, 正润电子	MIC	11+	2000	SOP
RA8875L3N	from hqew, 正润电子	RAIO	1203+	20	TQFP100
REF02AP	from hqew, 正润电子	TI	10+	1207	DIP
RIC25160-S	from hqew, 正润电子	RIC	10+	1208	SOP
RTC72421	from hqew, 正润电子	RTC	10+	1223	DIP18
RTL8139C	from hqew, 正润电子	REALTEK	10+	563	QFP
